9812
1640	587	0
769	766	6
814	2614	3
894	2648	2
70	2071	11
2548	2071	11
490	2071	11
2379	2071	11
729	2000	3
85	2004	1
2136	2000	3
1280	2000	3
2619	1448	7
2245	1591	1
1862	155	7
1405	1222	9
986	2071	11
1348	1507	6
79	2071	11
349	2071	11
998	2648	2
1784	2646	2
2451	1142	10
2293	2648	2
1416	2071	11
833	2071	11
995	2000	3
2643	2071	11
2402	52	7
1253	2071	11
822	432	0
84	83	6
475	1537	7
1481	2071	11
1610	2000	3
643	2646	2
107	2000	3
1485	2071	11
826	2071	11
387	1965	9
1429	2648	2
2390	2071	11
1033	1030	8
78	2071	11
2441	2453	6
1606	2071	11
950	2614	3
644	2071	11
1558	2071	11
1114	1606	10
1758	2308	9
1479	2499	0
2164	2071	11
1847	2000	3
376	2071	11
1594	2071	11
73	1896	0
1799	1703	5
2152	2646	2
2587	2000	3
78	2071	11
590	926	5
1188	2473	0
1407	2071	11
1288	2071	11
829	2614	3
1661	953	0
776	2071	11
2308	2071	11
1773	2071	11
717	2071	11
2651	2071	11
1421	2000	3
130	2614	3
2375	2000	3
2489	2071	11
1034	2071	11
353	2394	9
504	2614	3
952	1486	10
813	2116	8
2521	2071	11
419	2646	2
1289	2085	9
525	543	10
423	2109	1
2043	2071	11
704	2071	11
225	1606	7
130	2071	11
1814	2000	3
1766	2071	11
2364	2374	6
395	2648	2
2507	2071	11
1171	1166	6
656	2000	3
2043	2648	2
40	2071	11
1623	563	0
572	2614	3
945	210	10
1738	1746	5
2560	2559	6
1619	2614	3
1353	1354	5
874	1705	7
1388	1289	5
1696	2071	11
1770	2071	11
1616	1282	5
2108	1592	7
25	25	6
2310	2000	3
47	2071	11
1721	2071	11
1315	2000	3
1325	1729	5
1753	2071	11
273	2071	11
2292	2000	3
2116	2071	11
1145	2614	3
164	1089	7
1722	2646	2
828	2614	3
2055	2648	2
1617	2115	10
1079	2000	3
2464	2464	6
2601	2071	11
628	2071	11
2301	2000	3
2112	523	0
609	2126	9
1200	2071	11
1838	2071	11
2459	2071	11
1983	2000	3
380	2071	11
1997	1118	0
412	2039	7
1623	1884	5
2518	1248	7
2286	2071	11
