Rule 5:
If child ?b, then successor ?b.

Formal Rule:
Head: ?a  successor  ?b
Body: ?a  child  ?b

Real Instances from Knowledge Graph (1508 found):

Adela of Champagne, Adela of Champagne has child Agnes of France Byzantine Empress The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis VII of France, Louis VII of France has child Agnes of France Byzantine Empress The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Adelaide of Aquitaine, Adelaide of Aquitaine has child Gisela of France Countess of Ponthieu The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Hugh Capet, Hugh Capet has child Gisela of France Countess of Ponthieu The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Adelaide of Maurienne, Adelaide of Maurienne has child Constance of France Countess of Toulouse The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis VI of France, Louis VI of France has child Constance of France Countess of Toulouse The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Adelaide of Paris, Adelaide of Paris has child Charles the Simple The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis the Stammerer, Louis the Stammerer has child Charles the Simple The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Adelaide of Tours, Adelaide of Tours has child Conrad II Duke of Transjurane Burgundy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Adolphus Frederick II Duke of Mecklenburg Strelitz has successor Adolphus Frederick III Duke of Mecklenburg Strelitz, Adolphus Frederick II Duke of Mecklenburg Strelitz has child Adolphus Frederick III Duke of Mecklenburg Strelitz The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Afonso III of Portugal, Afonso III of Portugal has child Afonso of Portugal Lord of Portalegre The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Afonso II of Portugal, Afonso II of Portugal has child Afonso III of Portugal The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Afonso IV of Portugal, Afonso IV of Portugal has child Eleanor of Portugal Queen of Aragon The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Agatha wife of Edward the Exile, Agatha wife of Edward the Exile has child Cristina daughter of Edward the Exile The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Agnes of Burgundy Duchess of Bourbon, Agnes of Burgundy Duchess of Bourbon has child Charles II Duke of Bourbon The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Agnes of France Duchess of Burgundy, Agnes of France Duchess of Burgundy has child Blanche of Burgundy Countess of Savoy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Robert II Duke of Burgundy, Robert II Duke of Burgundy has child Blanche of Burgundy Countess of Savoy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Agnes of Merania, Agnes of Merania has child Marie of France Duchess of Brabant The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Philip II of France, Philip II of France has child Marie of France Duchess of Brabant The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Albert II Duke of Austria, Albert II Duke of Austria has child Albert III Duke of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Albert I of Germany, Albert I of Germany has child Agnes of Austria 1281 1364 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Alfonso II Count of Provence has successor Ramon Berenguer IV Count of Provence, Alfonso II Count of Provence has child Ramon Berenguer IV Count of Provence The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Alfonso II of Aragon, Alfonso II of Aragon has child Alfonso II Count of Provence The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Alfonso IX of Le n, Alfonso IX of Le n has child Alfonso of Molina The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Alfonso VIII of Castile, Alfonso VIII of Castile has child Berengaria of Castile The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Eleanor of England Queen of Castile, Eleanor of England Queen of Castile has child Berengaria of Castile The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Alfonso VII of Le n and Castile, Alfonso VII of Le n and Castile has child Constance of Castile The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Alfonso XI of Castile, Alfonso XI of Castile has child Fadrique Alfonso The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Alfonso X of Castile, Alfonso X of Castile has child Alfonso Fern ndez el Ni o The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Alfred the Great has successor Edward the Elder, Alfred the Great has child Edward the Elder The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Alpaida, Alpaida has child Charles Martel The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Pepin of Herstal has successor Charles Martel, Pepin of Herstal has child Charles Martel The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Alys of France Countess of Vexin, Alys of France Countess of Vexin has child Marie Countess of Ponthieu The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Anna Maria of Mecklenburg Schwerin, Anna Maria of Mecklenburg Schwerin has child Albrecht of Saxe Weissenfels The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Anne Gonzaga, Anne Gonzaga has child Anne Henriette of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Anne Marie d Orl ans, Anne Marie d Orl ans has child Charles Emmanuel III of Sardinia The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Victor Amadeus II of Sardinia has successor Charles Emmanuel III of Sardinia, Victor Amadeus II of Sardinia has child Charles Emmanuel III of Sardinia The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Anne of Bohemia and Hungary, Anne of Bohemia and Hungary has child Archduchess Anna of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ferdinand I Holy Roman Emperor, Ferdinand I Holy Roman Emperor has child Archduchess Anna of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Anne of Brittany, Anne of Brittany has child Charles Orlando Dauphin of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles VIII of France, Charles VIII of France has child Charles Orlando Dauphin of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Anne of Cyprus, Anne of Cyprus has child Amadeus IX Duke of Savoy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis Duke of Savoy, Louis Duke of Savoy has child Amadeus IX Duke of Savoy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Anne of Foix Candale, Anne of Foix Candale has child Anne of Bohemia and Hungary The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Anne of Kiev, Anne of Kiev has child Hugh Count of Vermandois The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry I of France, Henry I of France has child Hugh Count of Vermandois The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Antoine Duke of Lorraine, Antoine Duke of Lorraine has child Anna of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Antoine Duke of Montpensier, Antoine Duke of Montpensier has child Infante Antonio Duke of Galliera The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Infanta Luisa Fernanda Duchess of Montpensier, Infanta Luisa Fernanda Duchess of Montpensier has child Infante Antonio Duke of Galliera The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Antoine of Navarre, Antoine of Navarre has child Catherine de Bourbon The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Jeanne d Albret, Jeanne d Albret has child Catherine de Bourbon The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Antoinette of Bourbon, Antoinette of Bourbon has child Charles Cardinal of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Archduchess Anna of Austria, Archduchess Anna of Austria has child Ernest of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Archduchess Maria Clementina of Austria, Archduchess Maria Clementina of Austria has child Marie Caroline of Bourbo Two Sicilies Duchess of Berry The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Arnulf Count of Holland has successor Dirk III Count of Holland, Arnulf Count of Holland has child Dirk III Count of Holland The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Arthur II Duke of Brittany has successor John III Duke of Brittany, Arthur II Duke of Brittany has child John III Duke of Brittany The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Baldwin V Count of Flanders, Baldwin V Count of Flanders has child Baldwin VI Count of Flanders The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Barbara Jagiellon, Barbara Jagiellon has child Christine of Saxony The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Barbara of Cilli, Barbara of Cilli has child Elizabeth of Luxembourg The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Beatrice of England, Beatrice of England has child Arthur II Duke of Brittany The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
John II Duke of Brittany has successor Arthur II Duke of Brittany, John II Duke of Brittany has child Arthur II Duke of Brittany The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Beatrice of Portugal died 1381, Beatrice of Portugal died 1381 has child Eleanor of Alburquerque The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Beatrice of Savoy, Beatrice of Savoy has child Beatrice of Provence The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ramon Berenguer IV Count of Provence has successor Beatrice of Provence, Ramon Berenguer IV Count of Provence has child Beatrice of Provence The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Beatrice of Silesia, Beatrice of Silesia has child Louis V Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Beatriz of Portugal Duchess of Viseu, Beatriz of Portugal Duchess of Viseu has child Eleanor of Viseu The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ferdinand Duke of Viseu, Ferdinand Duke of Viseu has child Eleanor of Viseu The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Benedicta Henrietta of the Palatinate, Benedicta Henrietta of the Palatinate has child Duchess Charlotte Felicitas of Brunswic L neburg The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Berengar II of Italy, Berengar II of Italy has child Adalbert of Italy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Willa of Tuscany, Willa of Tuscany has child Adalbert of Italy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Bertha of Holland, Bertha of Holland has child Constance of France Princess of Antioch The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Philip I of France, Philip I of France has child Constance of France Princess of Antioch The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Bertrade of Montfort, Bertrade of Montfort has child Cecile of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Philip I of France, Philip I of France has child Cecile of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Blanche of Artois, Blanche of Artois has child Henry 3rd Earl of Lancaster The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Blanche of Castile, Blanche of Castile has child Alphonse Count of Poitiers The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis VIII of France, Louis VIII of France has child Alphonse Count of Poitiers The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Blanche of Navarre Queen of France, Blanche of Navarre Queen of France has child Joan of France 1351 1371 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Bona of Savoy, Bona of Savoy has child Anna Sforza The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Bonne of Luxembourg, Bonne of Luxembourg has child Charles V of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
John II of France has successor Charles V of France, John II of France has child Charles V of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Boso the Elder, Boso the Elder has child Hucbert The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Catherine de Medici, Catherine de Medici has child Charles IX of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry II of France, Henry II of France has child Charles IX of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Catherine of Valois, Catherine of Valois has child Edmund Tudor 1st Earl of Richmond The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charlemagne, Charlemagne has child Charles the Younger The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles Count of Valois, Charles Count of Valois has child Blanche of Valois The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles Duke of Orl ans, Charles Duke of Orl ans has child Anne of Orl ans Abbess of Fontevraud The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Marie of Cleves Duchess of Orl ans, Marie of Cleves Duchess of Orl ans has child Anne of Orl ans Abbess of Fontevraud The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles Duke of Vend me, Charles Duke of Vend me has child Antoine of Navarre The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles Emmanuel III of Sardinia, Charles Emmanuel III of Sardinia has child Emanuele Filiberto Duke of Aosta 1731 1735 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles Emmanuel II Duke of Savoy has successor Victor Amadeus II of Sardinia, Charles Emmanuel II Duke of Savoy has child Victor Amadeus II of Sardinia The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Charles Emmanuel I Duke of Savoy, Charles Emmanuel I Duke of Savoy has child Emanuel Filibert of Savoy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles Ferdinand Duke of Berry, Charles Ferdinand Duke of Berry has child Henri Count of Chambord The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Marie Caroline of Bourbo Two Sicilies Duchess of Berry, Marie Caroline of Bourbo Two Sicilies Duchess of Berry has child Henri Count of Chambord The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles III Duke of Lorraine, Charles III Duke of Lorraine has child Antonia of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles III Duke of Savoy, Charles III Duke of Savoy has child Emmanuel Philibert Duke of Savoy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
