Rule 10:
If father ?b, then predecessor ?b.

Formal Rule:
Head: ?a  predecessor  ?b
Body: ?a  father  ?b

Real Instances from Knowledge Graph (561 found):

A nor de Ch tellerault, A nor de Ch tellerault has father Aimery I Viscount of Ch tellerault The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Adelaide Blanche of Anjou, Adelaide Blanche of Anjou has father Fulk II Count of Anjou The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Adelaide of Auxerre born c. 870, Adelaide of Auxerre born c. 870 has father Conrad II Duke of Transjurane Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Rudolph I of Burgundy, Rudolph I of Burgundy has father Conrad II Duke of Transjurane Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Adelaide of Burgundy Duchess of Brabant, Adelaide of Burgundy Duchess of Brabant has father Hugh IV Duke of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Robert II Duke of Burgundy has predecessor Hugh IV Duke of Burgundy, Robert II Duke of Burgundy has father Hugh IV Duke of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Adolphus Frederick I Duke of Mecklenburg Schwerin, Adolphus Frederick I Duke of Mecklenburg Schwerin has father John VII Duke of Mecklenburg Schwerin The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Afonso I of Portugal, Afonso I of Portugal has father Henry Count of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Afonso V of Portugal has predecessor Edward King of Portugal, Afonso V of Portugal has father Edward King of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Eleanor of Portugal Holy Roman Empress, Eleanor of Portugal Holy Roman Empress has father Edward King of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Ferdinand Duke of Viseu, Ferdinand Duke of Viseu has father Edward King of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Agnes of Rochlitz, Agnes of Rochlitz has father Dedi III Margrave of Lusatia The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Alan Stewart of Darnley, Alan Stewart of Darnley has father John Stewart of Darnley The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Albert Azzo II Margrave of Milan, Albert Azzo II Margrave of Milan has father Albert Azzo I Margrave of Milan The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Albert Azzo I Margrave of Milan, Albert Azzo I Margrave of Milan has father Oberto II Margrave of Milan The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Albert III Count of Habsburg, Albert III Count of Habsburg has father Werner II Count of Habsburg The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Albert II Duke of Brunswic L neburg, Albert II Duke of Brunswic L neburg has father Albert I Duke of Brunswic L neburg The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Albert IV Count of Habsburg, Albert IV Count of Habsburg has father Rudolf II Count of Habsburg The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Albert I Duke of Brunswic L neburg has predecessor Otto I Duke of Brunswic L neburg, Albert I Duke of Brunswic L neburg has father Otto I Duke of Brunswic L neburg The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Alice Holland Countess of Kent, Alice Holland Countess of Kent has father Richard Fitzalan 3rd Earl of Arundel The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Joan Fitzalan Countess of Hereford, Joan Fitzalan Countess of Hereford has father Richard Fitzalan 3rd Earl of Arundel The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Amaury I de Montfort has predecessor Guillaume de Montfort of Hainaut, Amaury I de Montfort has father Guillaume de Montfort of Hainaut The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Amicie de Courtenay, Amicie de Courtenay has father Peter of Courtenay Lord of Conches The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Anna Maria of Ostfriesland, Anna Maria of Ostfriesland has father Enno III Count of East Frisia The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Anna of Holstei Gottorp, Anna of Holstei Gottorp has father Adolf Duke of Holstei Gottorp The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Anne of Austria, Anne of Austria has father Philip III of Spain The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Philip IV of Spain has predecessor Philip III of Spain, Philip IV of Spain has father Philip III of Spain The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Antoine Count of Vaud mont, Antoine Count of Vaud mont has father Frederick I Count of Vaud mont The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Archduchess Maria Theresa of Austria Este 1817 1886, Archduchess Maria Theresa of Austria Este 1817 1886 has father Francis IV Duke of Modena The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Arnulf II Count of Flanders, Arnulf II Count of Flanders has father Baldwin III Count of Flanders The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Arnulf I Count of Flanders, Arnulf I Count of Flanders has father Baldwin II Margrave of Flanders The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Baldwin III Count of Flanders, Baldwin III Count of Flanders has father Arnulf I Count of Flanders The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Baldwin III Count of Hainaut, Baldwin III Count of Hainaut has father Baldwin II Count of Hainaut The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Baldwin II Count of Hainaut, Baldwin II Count of Hainaut has father Baldwin VI Count of Flanders The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Baldwin II Margrave of Flanders, Baldwin II Margrave of Flanders has father Baldwin I Margrave of Flanders The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Baldwin IV Count of Flanders, Baldwin IV Count of Flanders has father Arnulf II Count of Flanders The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Baldwin IV Count of Hainaut, Baldwin IV Count of Hainaut has father Baldwin III Count of Hainaut The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Baldwin VI Count of Flanders, Baldwin VI Count of Flanders has father Baldwin V Count of Flanders The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Baldwin V Count of Hainaut, Baldwin V Count of Hainaut has father Baldwin IV Count of Hainaut The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Beatrice Regina della Scala, Beatrice Regina della Scala has father Mastino II della Scala The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Beatrice of Brandenburg, Beatrice of Brandenburg has father Otto V Margrave of Brandenburg Salzwedel The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Beatriz Pereira de Alvim, Beatriz Pereira de Alvim has father Nuno  lvares Pereira The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Berengaria of Barcelona, Berengaria of Barcelona has father Ramon Berenguer III Count of Barcelona The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Ramon Berenguer IV Count of Barcelona has predecessor Ramon Berenguer III Count of Barcelona, Ramon Berenguer IV Count of Barcelona has father Ramon Berenguer III Count of Barcelona The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Berenguer Ramon I Count of Barcelona, Berenguer Ramon I Count of Barcelona has father Ramon Borrell Count of Barcelona The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Bernard I Duke of Brunswic L neburg, Bernard I Duke of Brunswic L neburg has father Magnus II Duke of Brunswic L neburg The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Bertha of Burgundy, Bertha of Burgundy has father Conrad I of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Berthold Duke of Merania, Berthold Duke of Merania has father Berthold I of Istria The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Berthold I of Istria, Berthold I of Istria has father Berthold II Count of Andechs The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Bertrada of Laon, Bertrada of Laon has father Charibert of Laon The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Blanche of Brittany, Blanche of Brittany has father John II Duke of Brittany The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Marie of Brittany Countess of Saint Pol, Marie of Brittany Countess of Saint Pol has father John II Duke of Brittany The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Blanche of Burgundy, Blanche of Burgundy has father Otto IV Count of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Joan II Countess of Burgundy, Joan II Countess of Burgundy has father Otto IV Count of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Borrell II Count of Barcelona, Borrell II Count of Barcelona has father Sunyer Count of Barcelona The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Bouchard IV of Avesnes, Bouchard IV of Avesnes has father James of Avesnes The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Carlo Buonaparte, Carlo Buonaparte has father Giuseppe Maria Buonaparte The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Carloman II has predecessor Louis the Stammerer, Carloman II has father Louis the Stammerer The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Louis III of France has predecessor Louis the Stammerer, Louis III of France has father Louis the Stammerer The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Catherine of Foix Countess of Candale, Catherine of Foix Countess of Candale has father Gaston IV Count of Foix The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Margaret of Foix, Margaret of Foix has father Gaston IV Count of Foix The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Catherine of Vend me, Catherine of Vend me has father John VI of Vend me The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Charles Count of Angoul me, Charles Count of Angoul me has father John Count of Angoul me The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Charles III of Spain, Charles III of Spain has father Philip V of Spain The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Maria Antonia Ferdinanda of Spain, Maria Antonia Ferdinanda of Spain has father Philip V of Spain The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Charles V Duke of Lorraine, Charles V Duke of Lorraine has father Nicholas Francis Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Charles V Holy Roman Emperor, Charles V Holy Roman Emperor has father Philip I of Castile The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Ferdinand I Holy Roman Emperor, Ferdinand I Holy Roman Emperor has father Philip I of Castile The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Christine of Hesse, Christine of Hesse has father Philip I Landgrave of Hesse The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Cosimo de Medici, Cosimo de Medici has father Giovanni di Bicci de Medici The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Lorenzo the Elder, Lorenzo the Elder has father Giovanni di Bicci de Medici The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Countess Caroline of Nassau Saarbr cken, Countess Caroline of Nassau Saarbr cken has father Louis Crato Count of Nassau Saarbr cken The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Countess Sophia Albertine of Erbach Erbach, Countess Sophia Albertine of Erbach Erbach has father George Louis I Count of Erbach Erbach The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Ebalus Duke of Aquitaine, Ebalus Duke of Aquitaine has father Ranulf II of Aquitaine The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Eckhard I Count of Scheyern, Eckhard I Count of Scheyern has father Otto I Count of Scheyern The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Edward III of England has predecessor Edward II of England, Edward III of England has father Edward II of England The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Engeltrude de F zensac, Engeltrude de F zensac has father Leuthard I of Paris The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Ermengarde Countess of Maine, Ermengarde Countess of Maine has father Elias I Count of Maine The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Ermengarde of Anjou Duchess of Burgundy, Ermengarde of Anjou Duchess of Burgundy has father Fulk III Count of Anjou The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Ernest Duke of Austria, Ernest Duke of Austria has father Leopold III Duke of Austria The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Ernest I Duke of Brunswic L neburg, Ernest I Duke of Brunswic L neburg has father Henry the Middle Duke of Brunswic L neburg The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Fran oise Ath na s de Rochechouart Marquise de Montespan, Fran oise Ath na s de Rochechouart Marquise de Montespan has father Gabriel de Rochechouart de Mortemart The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Fran oise d Aubign  Marquise de Maintenon, Fran oise d Aubign  Marquise de Maintenon has father Constant d Aubign  The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Francesco I Sforza, Francesco I Sforza has father Muzio Attendolo Sforza The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Francis Count of Vend me, Francis Count of Vend me has father John VIII Count of Vend me The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Jeanne de Bourbon Duchess of Bourbon, Jeanne de Bourbon Duchess of Bourbon has father John VIII Count of Vend me The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Francis Duke of Anjou, Francis Duke of Anjou has father Henry II of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Francis II of France has predecessor Henry II of France, Francis II of France has father Henry II of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Henry III of France, Henry III of France has father Henry II of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Margaret of Valois, Margaret of Valois has father Henry II of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Frederick III Holy Roman Emperor has predecessor Ernest Duke of Austria, Frederick III Holy Roman Emperor has father Ernest Duke of Austria The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Frederick II Count of Vaud mont, Frederick II Count of Vaud mont has father Antoine Count of Vaud mont The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
