Rule 25:
If mother ?a, then child ?b.

Formal Rule:
Head: ?a  child  ?b
Body: ?b  mother  ?a

Real Instances from Knowledge Graph (408 found):

Dangereuse de l Isle Bouchard, A nor de Ch tellerault has mother Dangereuse de l Isle Bouchard The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Gertrude of Saxony, Bertha of Holland has mother Gertrude of Saxony The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Elizabeth Mure, Robert III of Scotland has mother Elizabeth Mure The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Maria of Austria Holy Roman Empress, Elisabeth of Austria Queen of France has mother Maria of Austria Holy Roman Empress The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Joan of Geneva, Humbert II Count of Savoy has mother Joan of Geneva The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Christine of Saxony has child Christine of Hesse, Christine of Hesse has mother Christine of Saxony The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Maud of Apulia, Ramon Berenguer III Count of Barcelona has mother Maud of Apulia The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Maria Amalia of Saxony has child Maria Luisa of Spain, Maria Luisa of Spain has mother Maria Amalia of Saxony The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Maria Amalia of Saxony has child Ferdinand I of the Two Sicilies, Ferdinand I of the Two Sicilies has mother Maria Amalia of Saxony The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Isabella of France has child Edward III of England, Edward III of England has mother Isabella of France The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Marie Countess of Harcourt, Frederick II Count of Vaud mont has mother Marie Countess of Harcourt The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Judith of Bavaria died 843, Charles the Bald has mother Judith of Bavaria died 843 The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Richende De Bourges, Theobald I Count of Blois has mother Richende De Bourges The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Fran oise Marie de Bourbon has child Louis Duke of Orl ans 1703 1752, Louis Duke of Orl ans 1703 1752 has mother Fran oise Marie de Bourbon The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Fran oise Marie de Bourbon has child Charlotte Agla  d Orl ans, Charlotte Agla  d Orl ans has mother Fran oise Marie de Bourbon The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Catherine of Vend me, Charlotte of Bourbon Queen of Cyprus has mother Catherine of Vend me The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Elizabeth of Austria 1436 1505 has child Barbara Jagiellon, Barbara Jagiellon has mother Elizabeth of Austria 1436 1505 The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Joan Fitzalan Countess of Hereford, Mary de Bohun has mother Joan Fitzalan Countess of Hereford The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Waldrada of Worms, Adelaide of Auxerre born c. 870 has mother Waldrada of Worms The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Waldrada of Worms, Rudolph I of Burgundy has mother Waldrada of Worms The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Osburh, Alfred the Great has mother Osburh The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Bertha daughter of Lothair II, Hugh of Italy has mother Bertha daughter of Lothair II The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Alice of Vergy, Hugh IV Duke of Burgundy has mother Alice of Vergy The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Adelaide of Maurienne, Philip of France 1116 1131 has mother Adelaide of Maurienne The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Adelaide of Maurienne, Robert I Count of Dreux has mother Adelaide of Maurienne The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Beatrice of Castile 1242 1303, Denis of Portugal has mother Beatrice of Castile 1242 1303 The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Eadgifu of Wessex has child Louis IV of France, Louis IV of France has mother Eadgifu of Wessex The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Marie Antoinette, Marie Th r se of France has mother Marie Antoinette The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Marie Antoinette has child Louis XVII, Louis XVII has mother Marie Antoinette The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Eleanor of Castile, Edward II of England has mother Eleanor of Castile The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Auguste of Bade Baden, Louis Philippe I Duke of Orl ans has mother Auguste of Bade Baden The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Margaret of Bar, Henry VI Count of Luxembourg has mother Margaret of Bar The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Maud Chaworth, Eleanor of Lancaster has mother Maud Chaworth The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Matilda of Ringelheim, Gerberga of Saxony has mother Matilda of Ringelheim The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Anne Marie d Orl ans has child Charles Emmanuel III of Sardinia, Charles Emmanuel III of Sardinia has mother Anne Marie d Orl ans The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Anne Marie d Orl ans, Marie Ad la de of Savoy has mother Anne Marie d Orl ans The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Anna Eleonore of Hesse Darmstadt, Ernest Augustus Elector of Hanover has mother Anna Eleonore of Hesse Darmstadt The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Beatrice of Savoy has child Margaret of Provence, Margaret of Provence has mother Beatrice of Savoy The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Beatrice of Savoy, Eleanor of Provence has mother Beatrice of Savoy The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Anne of Cyprus has child Margaret of Savoy Countess of Saint Pol, Margaret of Savoy Countess of Saint Pol has mother Anne of Cyprus The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Anne of Cyprus has child Charlotte of Savoy, Charlotte of Savoy has mother Anne of Cyprus The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Anne of Cyprus has child Philip II Duke of Savoy, Philip II Duke of Savoy has mother Anne of Cyprus The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Charlotte of Bourbon Queen of Cyprus has child Anne of Cyprus, Anne of Cyprus has mother Charlotte of Bourbon Queen of Cyprus The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Maria of Swabia, Henry III Duke of Brabant has mother Maria of Swabia The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Maria of Swabia, Matilda of Brabant Countess of Artois has mother Maria of Swabia The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
 lisabeth Charlotte d Orl ans, Francis I Holy Roman Emperor has mother  lisabeth Charlotte d Orl ans The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Beatrice of Burgundy Lady of Bourbon, Louis I Duke of Bourbon has mother Beatrice of Burgundy Lady of Bourbon The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Princess Louise of Hesse Darmstadt 1757 1830 has child Princess Caroline Louise of Saxe Weimar Eisenach, Princess Caroline Louise of Saxe Weimar Eisenach has mother Princess Louise of Hesse Darmstadt 1757 1830 The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Estrid of the Obotrites, Ingegerd Olofsdotter of Sweden has mother Estrid of the Obotrites The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Princess Augusta of Saxe Gotha, George III has mother Princess Augusta of Saxe Gotha The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Eleanor of Aragon Queen of Portugal has child Afonso V of Portugal, Afonso V of Portugal has mother Eleanor of Aragon Queen of Portugal The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Eleanor of Aragon Queen of Portugal has child Ferdinand Duke of Viseu, Ferdinand Duke of Viseu has mother Eleanor of Aragon Queen of Portugal The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Clarice Orsini, Piero the Unfortunate has mother Clarice Orsini The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Maria Theresa of Naples and Sicily has child Marie Louise Duchess of Parma, Marie Louise Duchess of Parma has mother Maria Theresa of Naples and Sicily The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Isabella I of Castile has child Maria of Aragon Queen of Portugal, Maria of Aragon Queen of Portugal has mother Isabella I of Castile The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Marie de Medici has child Elisabeth of France 1602 1644, Elisabeth of France 1602 1644 has mother Marie de Medici The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Marie de Medici has child Henrietta Maria, Henrietta Maria has mother Marie de Medici The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Juana Manuel, John I of Castile has mother Juana Manuel The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Urraca of Portugal, Alfonso IX of Le n has mother Urraca of Portugal The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Adela of Milan, Albert Azzo II Margrave of Milan has mother Adela of Milan The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Mary of Avesnes, Peter I Duke of Bourbon has mother Mary of Avesnes The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Mary of Avesnes, James I Count of La Marche has mother Mary of Avesnes The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Mar a de Molina, Ferdinand IV of Castile has mother Mar a de Molina The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Maria Josepha of Saxony Dauphine of France has child Louis XVI, Louis XVI has mother Maria Josepha of Saxony Dauphine of France The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Maria Josepha of Saxony Dauphine of France has child Charles X, Charles X has mother Maria Josepha of Saxony Dauphine of France The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Maria Josepha of Saxony Dauphine of France, Louis XVIII has mother Maria Josepha of Saxony Dauphine of France The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Maria Luisa of Spain has child Francis II Holy Roman Emperor, Francis II Holy Roman Emperor has mother Maria Luisa of Spain The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Claude of France 1547 1575, Francis II Duke of Lorraine has mother Claude of France 1547 1575 The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Margaret Boswell, Matthew Stewart 2nd Earl of Lennox has mother Margaret Boswell The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Margaret of Valois Duchess of Berry, Charles Emmanuel I Duke of Savoy has mother Margaret of Valois Duchess of Berry The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Anne of Brittany has child Claude of France, Claude of France has mother Anne of Brittany The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Constance of Castile has child Alys of France Countess of Vexin, Alys of France Countess of Vexin has mother Constance of Castile The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Constance of Arles has child Hugh Magnus, Hugh Magnus has mother Constance of Arles The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Constance of Arles has child Robert I Duke of Burgundy, Robert I Duke of Burgundy has mother Constance of Arles The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Magdalene Sibylle of Prussia, Sophia Eleonore of Saxony has mother Magdalene Sibylle of Prussia The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Maria Carolina of Austria has child Maria Theresa of Naples and Sicily, Maria Theresa of Naples and Sicily has mother Maria Carolina of Austria The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Maria Carolina of Austria has child Maria Amalia of Naples and Sicily, Maria Amalia of Naples and Sicily has mother Maria Carolina of Austria The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Anne of Austria, Philippe I Duke of Orl ans has mother Anne of Austria The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Sophia of Saxe Weissenfels Princess of Anhalt Zerbst, Princess Magdalena Augusta of Anhalt Zerbst has mother Sophia of Saxe Weissenfels Princess of Anhalt Zerbst The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Catherine of Foix Countess of Candale, Anne of Foix Candale has mother Catherine of Foix Countess of Candale The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Christine of Hesse, Anna of Holstei Gottorp has mother Christine of Hesse The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Wierzchoslawa Ludmilla of Greater Poland, Frederick II Duke of Lorraine has mother Wierzchoslawa Ludmilla of Greater Poland The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Maria Antonia Ferdinanda of Spain has child Maria Theresa of Savoy, Maria Theresa of Savoy has mother Maria Antonia Ferdinanda of Spain The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Gisela of Burgundy Marchioness of Montferrat, Adelaide of Maurienne has mother Gisela of Burgundy Marchioness of Montferrat The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Beatrice of Portugal Duchess of Savoy, Emmanuel Philibert Duke of Savoy has mother Beatrice of Portugal Duchess of Savoy The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Claude Fran oise de Lorraine, Charles V Duke of Lorraine has mother Claude Fran oise de Lorraine The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: no
Eleanor of Lancaster has child Alice Holland Countess of Kent, Alice Holland Countess of Kent has mother Eleanor of Lancaster The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Joan I of Navarre has child Charles IV of France, Charles IV of France has mother Joan I of Navarre The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Joan I of Navarre has child Isabella of France, Isabella of France has mother Joan I of Navarre The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Elisabeth of Nuremberg has child Margaret of the Palatinate, Margaret of the Palatinate has mother Elisabeth of Nuremberg The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
Marie Ad la de of Savoy has child Louis XV, Louis XV has mother Marie Ad la de of Savoy The path is classified as POSITIVE (PCA Confidence 0.6335 >= threshold 0.5) Answer: yes
