Rule 28:
If parent ?a, then child ?b.

Formal Rule:
Head: ?a  child  ?b
Body: ?b  parent  ?a

Real Instances from Knowledge Graph (946 found):

Aimery I Viscount of Ch tellerault, A nor de Ch tellerault has parent Aimery I Viscount of Ch tellerault. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Charles V of France has child Louis I Duke of Orl ans, Louis I Duke of Orl ans has parent Charles V of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Charles V of France has child Charles VI of France, Charles VI of France has parent Charles V of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
John I of Aragon, Yolande of Aragon has parent John I of Aragon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Maria of Swabia, Matilda of Brabant Countess of Artois has parent Maria of Swabia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Maria of Swabia, Henry III Duke of Brabant has parent Maria of Swabia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Anne of Bohemia and Hungary has child Maria of Austria Duchess of J lich Cleves Berg, Maria of Austria Duchess of J lich Cleves Berg has parent Anne of Bohemia and Hungary. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Anne of Bohemia and Hungary has child Maximilian II Holy Roman Emperor, Maximilian II Holy Roman Emperor has parent Anne of Bohemia and Hungary. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Anne of Bohemia and Hungary has child Archduchess Anna of Austria, Archduchess Anna of Austria has parent Anne of Bohemia and Hungary. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Malusha, Vladimir the Great has parent Malusha. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Theobald I Count of Blois, Odo I Count of Blois has parent Theobald I Count of Blois. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Sunifred Count of Barcelona, Wilfred the Hairy has parent Sunifred Count of Barcelona. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Guillaume de Montfort of Hainaut, Amaury I de Montfort has parent Guillaume de Montfort of Hainaut. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Eilika of Schweinfurt, Gertrude of Saxony has parent Eilika of Schweinfurt. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Geoffrey Plantagenet Count of Anjou, Henry II of England has parent Geoffrey Plantagenet Count of Anjou. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Louis II Duke of Bavaria, Louis IV Holy Roman Emperor has parent Louis II Duke of Bavaria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Ida Countess of Hainaut, Baldwin III Count of Hainaut has parent Ida Countess of Hainaut. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Alice of Vergy, Hugh IV Duke of Burgundy has parent Alice of Vergy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Christina of Denmark, Charles III Duke of Lorraine has parent Christina of Denmark. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Beatrice of Silesia, Stephen II Duke of Bavaria has parent Beatrice of Silesia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Beatrice of Silesia, Matilda of Bavaria Margravine of Meissen has parent Beatrice of Silesia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Brun I Count of Brunswick, Liudolf Margrave of Frisia has parent Brun I Count of Brunswick. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Marjorie Bruce, Robert II of Scotland has parent Marjorie Bruce. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Maria Beatrice of Savoy has child Archduchess Maria Theresa of Austria Este 1817 1886, Archduchess Maria Theresa of Austria Este 1817 1886 has parent Maria Beatrice of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Elizabeth Woodville has child Elizabeth of York, Elizabeth of York has parent Elizabeth Woodville. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
John I Duke of Brabant, Margaret of Brabant has parent John I Duke of Brabant. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Maria Theresa of Naples and Sicily has child Marie Louise Duchess of Parma, Marie Louise Duchess of Parma has parent Maria Theresa of Naples and Sicily. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Catherine de Medici has child Charles IX of France, Charles IX of France has parent Catherine de Medici. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Catherine de Medici has child Henry III of France, Henry III of France has parent Catherine de Medici. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Catherine de Medici, Francis Duke of Anjou has parent Catherine de Medici. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Catherine de Medici has child Margaret of Valois, Margaret of Valois has parent Catherine de Medici. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Charibert of Laon, Bertrada of Laon has parent Charibert of Laon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Rixa of Werle, Magnus I Duke of Brunswic L neburg has parent Rixa of Werle. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Anne of Cyprus has child Charlotte of Savoy, Charlotte of Savoy has parent Anne of Cyprus. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Anne of Cyprus has child Bona of Savoy, Bona of Savoy has parent Anne of Cyprus. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Anne of Cyprus has child Philip II Duke of Savoy, Philip II Duke of Savoy has parent Anne of Cyprus. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Anne of Cyprus has child Margaret of Savoy Countess of Saint Pol, Margaret of Savoy Countess of Saint Pol has parent Anne of Cyprus. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Sunyer Count of Barcelona, Borrell II Count of Barcelona has parent Sunyer Count of Barcelona. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Henry the Fowler has child Gerberga of Saxony, Gerberga of Saxony has parent Henry the Fowler. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Henry the Fowler has child Hedwig of Saxony, Hedwig of Saxony has parent Henry the Fowler. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Bonne of Luxembourg has child Philip the Bold, Philip the Bold has parent Bonne of Luxembourg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Bonne of Luxembourg has child Marie of France Duchess of Bar, Marie of France Duchess of Bar has parent Bonne of Luxembourg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Bonne of Luxembourg has child Charles V of France, Charles V of France has parent Bonne of Luxembourg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Albert Azzo I Margrave of Milan, Albert Azzo II Margrave of Milan has parent Albert Azzo I Margrave of Milan. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Margaret II Countess of Flanders, John I Count of Hainaut has parent Margaret II Countess of Flanders. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Ferdinand II of Le n has child Alfonso IX of Le n, Alfonso IX of Le n has parent Ferdinand II of Le n. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Anna Maria of Ostfriesland, Anna Maria of Mecklenburg Schwerin has parent Anna Maria of Ostfriesland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Rurik has child Igor of Kiev, Igor of Kiev has parent Rurik. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
John VII Duke of Mecklenburg Schwerin, Adolphus Frederick I Duke of Mecklenburg Schwerin has parent John VII Duke of Mecklenburg Schwerin. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Henry II of France has child Francis Duke of Anjou, Francis Duke of Anjou has parent Henry II of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Henry II of France has child Charles IX of France, Charles IX of France has parent Henry II of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Henry II of France, Margaret of Valois has parent Henry II of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Gerberga of Saxony has child Matilda of France, Matilda of France has parent Gerberga of Saxony. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Gerberga of Saxony has child Lothair of France, Lothair of France has parent Gerberga of Saxony. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
William of Winchester Lord of Lunenburg, Otto I Duke of Brunswic L neburg has parent William of Winchester Lord of Lunenburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Beatrice of Savoy Lady of Villena, John Count of Chalon has parent Beatrice of Savoy Lady of Villena. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Alfonso II Count of Provence has child Ramon Berenguer IV Count of Provence, Ramon Berenguer IV Count of Provence has parent Alfonso II Count of Provence. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Gertrude of Saxony, Bertha of Holland has parent Gertrude of Saxony. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Joanna of Castile has child Ferdinand I Holy Roman Emperor, Ferdinand I Holy Roman Emperor has parent Joanna of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Tribal chief, Estrid of the Obotrites has parent Tribal chief. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Poppa of Bayeux, Gerloc has parent Poppa of Bayeux. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Henry IV of France has child Louis XIII, Louis XIII has parent Henry IV of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Henry IV of France, Elisabeth of France 1602 1644 has parent Henry IV of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Henry IV of France has child Henrietta Maria, Henrietta Maria has parent Henry IV of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Elizabeth Charlotte Madame Palatine, Philippe II Duke of Orl ans has parent Elizabeth Charlotte Madame Palatine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Ermengarde of Anjou Duchess of Burgundy, Fulk IV Count of Anjou has parent Ermengarde of Anjou Duchess of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Maria Theresa of Austria Este Queen of Sardinia has child Maria Beatrice of Savoy, Maria Beatrice of Savoy has parent Maria Theresa of Austria Este Queen of Sardinia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Ferdinand I of the Two Sicilies has child Maria Amalia of Naples and Sicily, Maria Amalia of Naples and Sicily has parent Ferdinand I of the Two Sicilies. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Ferdinand I of the Two Sicilies, Maria Theresa of Naples and Sicily has parent Ferdinand I of the Two Sicilies. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Antoine Duke of Lorraine has child Nicolas Duke of Merc ur, Nicolas Duke of Merc ur has parent Antoine Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Antoine Duke of Lorraine has child Francis I Duke of Lorraine, Francis I Duke of Lorraine has parent Antoine Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Philippe II Duke of Orl ans has child Charlotte Agla  d Orl ans, Charlotte Agla  d Orl ans has parent Philippe II Duke of Orl ans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Philippe II Duke of Orl ans has child Louis Duke of Orl ans 1703 1752, Louis Duke of Orl ans 1703 1752 has parent Philippe II Duke of Orl ans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
Kunigunde of Altdorf, Welf I Duke of Bavaria has parent Kunigunde of Altdorf. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Burkhard V Count of Hohenberg, Gertrude of Hohenberg has parent Burkhard V Count of Hohenberg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Gaston IV Count of Foix, Margaret of Foix has parent Gaston IV Count of Foix. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Gaston IV Count of Foix, Catherine of Foix Countess of Candale has parent Gaston IV Count of Foix. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Louis IV Holy Roman Emperor, Stephen II Duke of Bavaria has parent Louis IV Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Margaret of Saxony Duchess of Brunswic L neburg, Ernest I Duke of Brunswic L neburg has parent Margaret of Saxony Duchess of Brunswic L neburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Marie of Luxembourg Countess of Vend me, Charles Duke of Vend me has parent Marie of Luxembourg Countess of Vend me. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Marie of Luxembourg Countess of Vend me, Antoinette of Bourbon has parent Marie of Luxembourg Countess of Vend me. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Charles Martel has child Pepin the Short, Pepin the Short has parent Charles Martel. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
John Constable of Portugal, Isabella of Portugal Queen of Castile has parent John Constable of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
John Constable of Portugal, Beatriz of Portugal Duchess of Viseu has parent John Constable of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: no
Joan I of Navarre has child Philip V of France, Philip V of France has parent Joan I of Navarre. [VALID] The path is classified as POSITIVE (PCA Confidence 0.6544 >= threshold 0.5) Answer: yes
