Rule 14:
If predecessor ?b, then father ?b.

Formal Rule:
Head: ?a  father  ?b
Body: ?a  predecessor  ?b

Real Instances from Knowledge Graph (358 found):

Adelaide of Italy, Adelaide of Italy has predecessor Willa of Tuscany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Gerberga of M con, Gerberga of M con has predecessor Willa of Tuscany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Philippe II Duke of Orl ans has father Philippe I Duke of Orl ans, Philippe II Duke of Orl ans has predecessor Philippe I Duke of Orl ans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Louis the Younger, Louis the Younger has predecessor Louis the German. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Charles the Fat has father Louis the German, Charles the Fat has predecessor Louis the German. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Fulk King of Jerusalem, Fulk King of Jerusalem has predecessor Fulk IV Count of Anjou. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Philip V of Spain, Philip V of Spain has predecessor Louis I of Spain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Ramon Berenguer IV Count of Barcelona has father Ramon Berenguer III Count of Barcelona, Ramon Berenguer IV Count of Barcelona has predecessor Ramon Berenguer III Count of Barcelona. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Maximilian II Holy Roman Emperor has father Ferdinand I Holy Roman Emperor, Maximilian II Holy Roman Emperor has predecessor Ferdinand I Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Charles II Archduke of Austria, Charles II Archduke of Austria has predecessor Ferdinand I Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Ferdinand II Archduke of Austria, Ferdinand II Archduke of Austria has predecessor Ferdinand I Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Iziaslav I of Kiev, Iziaslav I of Kiev has predecessor Yaroslav the Wise. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Henry the Fowler, Henry the Fowler has predecessor Conrad I of Germany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Henry III of Castile, Henry III of Castile has predecessor John I of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Ferdinand III of Castile has father Alfonso IX of Le n, Ferdinand III of Castile has predecessor Alfonso IX of Le n. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Francis II of France has father Henry II of France, Francis II of France has predecessor Henry II of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Henry I of Navarre, Henry I of Navarre has predecessor Theobald II of Navarre. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Peter I Duke of Brittany, Peter I Duke of Brittany has predecessor Alix Duchess of Brittany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
John I Duke of Brittany, John I Duke of Brittany has predecessor Alix Duchess of Brittany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Joan III Countess of Burgundy, Joan III Countess of Burgundy has predecessor Joan II Countess of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Denis of Portugal has father Afonso III of Portugal, Denis of Portugal has predecessor Afonso III of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Lothair II of Italy has father Hugh of Italy, Lothair II of Italy has predecessor Hugh of Italy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Amaury I de Montfort has father Guillaume de Montfort of Hainaut, Amaury I de Montfort has predecessor Guillaume de Montfort of Hainaut. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Louis Philippe I Duke of Orl ans has father Louis Duke of Orl ans 1703 1752, Louis Philippe I Duke of Orl ans has predecessor Louis Duke of Orl ans 1703 1752. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
James VI and I, James VI and I has predecessor Mary Queen of Scots. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
John of Montfort, John of Montfort has predecessor John III Duke of Brittany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Odo of France, Odo of France has predecessor Charles the Fat. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Berengar I of Italy, Berengar I of Italy has predecessor Charles the Fat. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Guy III of Spoleto, Guy III of Spoleto has predecessor Charles the Fat. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Arnulf of Carinthia, Arnulf of Carinthia has predecessor Charles the Fat. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Sancho IV of Castile has father Alfonso X of Castile, Sancho IV of Castile has predecessor Alfonso X of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
 thelwulf King of Wessex has father Ecgberht King of Wessex,  thelwulf King of Wessex has predecessor Ecgberht King of Wessex. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Louis XVIII, Louis XVIII has predecessor Napoleon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Napoleon II has father Napoleon, Napoleon II has predecessor Napoleon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Ferdinand IV of Castile has father Sancho IV of Castile, Ferdinand IV of Castile has predecessor Sancho IV of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Richard II of England, Richard II of England has predecessor Edward III of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Amadeus IX Duke of Savoy, Amadeus IX Duke of Savoy has predecessor Louis Duke of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Archduchess Maria Dorothea of Austria, Archduchess Maria Dorothea of Austria has predecessor Princess Marie Isabelle of Orl ans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Ferdinand III Grand Duke of Tuscany, Ferdinand III Grand Duke of Tuscany has predecessor Leopold II Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Willa of Tuscany, Willa of Tuscany has predecessor Ermengarde of Tuscany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Joanna of Castile, Joanna of Castile has predecessor Ferdinand II of Aragon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Robert III Count of Dreux, Robert III Count of Dreux has predecessor Robert II Count of Dreux. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Otto I Duke of Bavaria, Otto I Duke of Bavaria has predecessor Henry the Lion. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Bernhard Count of Anhalt, Bernhard Count of Anhalt has predecessor Henry the Lion. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Sancho III of Castile has father Alfonso VII of Le n and Castile, Sancho III of Castile has predecessor Alfonso VII of Le n and Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Ferdinand II of Le n has father Alfonso VII of Le n and Castile, Ferdinand II of Le n has predecessor Alfonso VII of Le n and Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
John VIII Count of Vend me has father Louis Count of Vend me, John VIII Count of Vend me has predecessor Louis Count of Vend me. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Philibert II Duke of Savoy, Philibert II Duke of Savoy has predecessor Philip II Duke of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Henry III of England has father John King of England, Henry III of England has predecessor John King of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Louis VIII of France, Louis VIII of France has predecessor John King of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Ren  of Anjou, Ren  of Anjou has predecessor Louis III of Anjou. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Louis Antoine Duke of Angoul me has father Charles X, Louis Antoine Duke of Angoul me has predecessor Charles X. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Henri Count of Chambord, Henri Count of Chambord has predecessor Charles X. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Louis Philippe I, Louis Philippe I has predecessor Charles X. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Canute VI of Denmark, Canute VI of Denmark has predecessor Valdemar I of Denmark. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Philip I Duke of Burgundy, Philip I Duke of Burgundy has predecessor Odo IV Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Ernest II Duke of Brunswic L neburg, Ernest II Duke of Brunswic L neburg has predecessor William the Younger Duke of Brunswic L neburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Peter III of Aragon, Peter III of Aragon has predecessor James I of Aragon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Louis V of France has father Lothair of France, Louis V of France has predecessor Lothair of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Philip VI of France, Philip VI of France has predecessor Charles IV of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Philip III of Navarre, Philip III of Navarre has predecessor Charles IV of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Amaury II de Montfort, Amaury II de Montfort has predecessor Simon I de Montfort. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Jacques Charles Dupont de l Eure, Jacques Charles Dupont de l Eure has predecessor Louis Philippe I. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Prince Philippe Count of Paris, Prince Philippe Count of Paris has predecessor Louis Philippe I. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Joan II Countess of Burgundy, Joan II Countess of Burgundy has predecessor Mahaut Countess of Artois. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Joan II of Navarre, Joan II of Navarre has predecessor Philip III of Navarre. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Alfonso IX of Le n has father Ferdinand II of Le n, Alfonso IX of Le n has predecessor Ferdinand II of Le n. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Ferdinand I of Austria, Ferdinand I of Austria has predecessor Francis II Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Charles VII Holy Roman Emperor, Charles VII Holy Roman Emperor has predecessor Maria Theresa. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Joseph II Holy Roman Emperor, Joseph II Holy Roman Emperor has predecessor Maria Theresa. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Francis I Holy Roman Emperor, Francis I Holy Roman Emperor has predecessor Maria Theresa. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Philip the Good has father John the Fearless, Philip the Good has predecessor John the Fearless. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Edward III of England has father Edward II of England, Edward III of England has predecessor Edward II of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
John King of England, John King of England has predecessor Eleanor of Aquitaine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Carloman II, Carloman II has predecessor Louis III of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Francis IV Duke of Modena, Francis IV Duke of Modena has predecessor Ercole III d Este Duke of Modena. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Yaropolk I of Kiev, Yaropolk I of Kiev has predecessor Sviatoslav I. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Vladimir the Great has father Sviatoslav I, Vladimir the Great has predecessor Sviatoslav I. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Archduchess Anna of Austria, Archduchess Anna of Austria has predecessor Marie of Bade Sponheim. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Maria Beatrice d Este Duchess of Massa, Maria Beatrice d Este Duchess of Massa has predecessor Maria Teresa Cybo Malaspina Duchess of Massa. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
John I of Portugal, John I of Portugal has predecessor 1383 1385 Portuguese interregnum. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Francesco I Sforza, Francesco I Sforza has predecessor Golden Ambrosian Republic. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Louis Duke of Orl ans 1703 1752, Louis Duke of Orl ans 1703 1752 has predecessor Henri Jules Prince of Cond . [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Dirk III Count of Holland, Dirk III Count of Holland has predecessor Arnulf Count of Holland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Frederick III Holy Roman Emperor has father Ernest Duke of Austria, Frederick III Holy Roman Emperor has predecessor Ernest Duke of Austria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
Philip II of Spain, Philip II of Spain has predecessor Mary I of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Philip V of France, Philip V of France has predecessor John I of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Francis I of the Two Sicilies, Francis I of the Two Sicilies has predecessor Ferdinand I of the Two Sicilies. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: no
Prince Philippe Count of Paris has father Ferdinand Philippe Duke of Orl ans, Prince Philippe Count of Paris has predecessor Ferdinand Philippe Duke of Orl ans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.5121 >= threshold 0.5) Answer: yes
