Rule 26:
If father ?a, then child ?b.

Formal Rule:
Head: ?a  child  ?b
Body: ?b  father  ?a

Real Instances from Knowledge Graph (561 found):

Aimery I Viscount of Ch tellerault, A nor de Ch tellerault has father Aimery I Viscount of Ch tellerault. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Fulk II Count of Anjou, Adelaide Blanche of Anjou has father Fulk II Count of Anjou. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Conrad II Duke of Transjurane Burgundy, Adelaide of Auxerre born c. 870 has father Conrad II Duke of Transjurane Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Conrad II Duke of Transjurane Burgundy, Rudolph I of Burgundy has father Conrad II Duke of Transjurane Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Hugh IV Duke of Burgundy has child Adelaide of Burgundy Duchess of Brabant, Adelaide of Burgundy Duchess of Brabant has father Hugh IV Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Hugh IV Duke of Burgundy, Robert II Duke of Burgundy has father Hugh IV Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
John VII Duke of Mecklenburg Schwerin, Adolphus Frederick I Duke of Mecklenburg Schwerin has father John VII Duke of Mecklenburg Schwerin. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Henry Count of Portugal has child Afonso I of Portugal, Afonso I of Portugal has father Henry Count of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Edward King of Portugal has child Afonso V of Portugal, Afonso V of Portugal has father Edward King of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Edward King of Portugal has child Eleanor of Portugal Holy Roman Empress, Eleanor of Portugal Holy Roman Empress has father Edward King of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Edward King of Portugal has child Ferdinand Duke of Viseu, Ferdinand Duke of Viseu has father Edward King of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Dedi III Margrave of Lusatia, Agnes of Rochlitz has father Dedi III Margrave of Lusatia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
John Stewart of Darnley, Alan Stewart of Darnley has father John Stewart of Darnley. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Albert Azzo I Margrave of Milan, Albert Azzo II Margrave of Milan has father Albert Azzo I Margrave of Milan. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Oberto II Margrave of Milan, Albert Azzo I Margrave of Milan has father Oberto II Margrave of Milan. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Werner II Count of Habsburg, Albert III Count of Habsburg has father Werner II Count of Habsburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Albert I Duke of Brunswic L neburg, Albert II Duke of Brunswic L neburg has father Albert I Duke of Brunswic L neburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Rudolf II Count of Habsburg, Albert IV Count of Habsburg has father Rudolf II Count of Habsburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Otto I Duke of Brunswic L neburg, Albert I Duke of Brunswic L neburg has father Otto I Duke of Brunswic L neburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Richard Fitzalan 3rd Earl of Arundel, Alice Holland Countess of Kent has father Richard Fitzalan 3rd Earl of Arundel. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Richard Fitzalan 3rd Earl of Arundel, Joan Fitzalan Countess of Hereford has father Richard Fitzalan 3rd Earl of Arundel. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Guillaume de Montfort of Hainaut, Amaury I de Montfort has father Guillaume de Montfort of Hainaut. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Peter of Courtenay Lord of Conches, Amicie de Courtenay has father Peter of Courtenay Lord of Conches. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Enno III Count of East Frisia, Anna Maria of Ostfriesland has father Enno III Count of East Frisia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Adolf Duke of Holstei Gottorp, Anna of Holstei Gottorp has father Adolf Duke of Holstei Gottorp. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Philip III of Spain has child Anne of Austria, Anne of Austria has father Philip III of Spain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Philip III of Spain has child Philip IV of Spain, Philip IV of Spain has father Philip III of Spain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Frederick I Count of Vaud mont, Antoine Count of Vaud mont has father Frederick I Count of Vaud mont. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Francis IV Duke of Modena has child Archduchess Maria Theresa of Austria Este 1817 1886, Archduchess Maria Theresa of Austria Este 1817 1886 has father Francis IV Duke of Modena. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Baldwin III Count of Flanders, Arnulf II Count of Flanders has father Baldwin III Count of Flanders. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Baldwin II Margrave of Flanders, Arnulf I Count of Flanders has father Baldwin II Margrave of Flanders. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Arnulf I Count of Flanders, Baldwin III Count of Flanders has father Arnulf I Count of Flanders. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Baldwin II Count of Hainaut, Baldwin III Count of Hainaut has father Baldwin II Count of Hainaut. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Baldwin VI Count of Flanders, Baldwin II Count of Hainaut has father Baldwin VI Count of Flanders. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Baldwin I Margrave of Flanders, Baldwin II Margrave of Flanders has father Baldwin I Margrave of Flanders. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Arnulf II Count of Flanders, Baldwin IV Count of Flanders has father Arnulf II Count of Flanders. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Baldwin III Count of Hainaut, Baldwin IV Count of Hainaut has father Baldwin III Count of Hainaut. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Baldwin V Count of Flanders has child Baldwin VI Count of Flanders, Baldwin VI Count of Flanders has father Baldwin V Count of Flanders. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Baldwin IV Count of Hainaut, Baldwin V Count of Hainaut has father Baldwin IV Count of Hainaut. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Mastino II della Scala, Beatrice Regina della Scala has father Mastino II della Scala. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Otto V Margrave of Brandenburg Salzwedel, Beatrice of Brandenburg has father Otto V Margrave of Brandenburg Salzwedel. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Nuno  lvares Pereira, Beatriz Pereira de Alvim has father Nuno  lvares Pereira. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Ramon Berenguer III Count of Barcelona, Berengaria of Barcelona has father Ramon Berenguer III Count of Barcelona. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Ramon Berenguer III Count of Barcelona, Ramon Berenguer IV Count of Barcelona has father Ramon Berenguer III Count of Barcelona. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Ramon Borrell Count of Barcelona, Berenguer Ramon I Count of Barcelona has father Ramon Borrell Count of Barcelona. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Magnus II Duke of Brunswic L neburg, Bernard I Duke of Brunswic L neburg has father Magnus II Duke of Brunswic L neburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Conrad I of Burgundy has child Bertha of Burgundy, Bertha of Burgundy has father Conrad I of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Berthold I of Istria, Berthold Duke of Merania has father Berthold I of Istria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Berthold II Count of Andechs, Berthold I of Istria has father Berthold II Count of Andechs. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Charibert of Laon, Bertrada of Laon has father Charibert of Laon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
John II Duke of Brittany has child Blanche of Brittany, Blanche of Brittany has father John II Duke of Brittany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
John II Duke of Brittany has child Marie of Brittany Countess of Saint Pol, Marie of Brittany Countess of Saint Pol has father John II Duke of Brittany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Otto IV Count of Burgundy, Blanche of Burgundy has father Otto IV Count of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Otto IV Count of Burgundy, Joan II Countess of Burgundy has father Otto IV Count of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Sunyer Count of Barcelona, Borrell II Count of Barcelona has father Sunyer Count of Barcelona. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
James of Avesnes, Bouchard IV of Avesnes has father James of Avesnes. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Giuseppe Maria Buonaparte has child Carlo Buonaparte, Carlo Buonaparte has father Giuseppe Maria Buonaparte. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Louis the Stammerer has child Carloman II, Carloman II has father Louis the Stammerer. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Louis the Stammerer has child Louis III of France, Louis III of France has father Louis the Stammerer. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Gaston IV Count of Foix, Catherine of Foix Countess of Candale has father Gaston IV Count of Foix. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Gaston IV Count of Foix, Margaret of Foix has father Gaston IV Count of Foix. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
John VI of Vend me, Catherine of Vend me has father John VI of Vend me. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
John Count of Angoul me, Charles Count of Angoul me has father John Count of Angoul me. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Philip V of Spain, Charles III of Spain has father Philip V of Spain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Philip V of Spain, Maria Antonia Ferdinanda of Spain has father Philip V of Spain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Nicholas Francis Duke of Lorraine has child Charles V Duke of Lorraine, Charles V Duke of Lorraine has father Nicholas Francis Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Philip I of Castile, Charles V Holy Roman Emperor has father Philip I of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Philip I of Castile has child Ferdinand I Holy Roman Emperor, Ferdinand I Holy Roman Emperor has father Philip I of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Philip I Landgrave of Hesse, Christine of Hesse has father Philip I Landgrave of Hesse. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Giovanni di Bicci de Medici, Cosimo de Medici has father Giovanni di Bicci de Medici. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Giovanni di Bicci de Medici, Lorenzo the Elder has father Giovanni di Bicci de Medici. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Louis Crato Count of Nassau Saarbr cken, Countess Caroline of Nassau Saarbr cken has father Louis Crato Count of Nassau Saarbr cken. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
George Louis I Count of Erbach Erbach, Countess Sophia Albertine of Erbach Erbach has father George Louis I Count of Erbach Erbach. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Ranulf II of Aquitaine, Ebalus Duke of Aquitaine has father Ranulf II of Aquitaine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Otto I Count of Scheyern, Eckhard I Count of Scheyern has father Otto I Count of Scheyern. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Edward II of England has child Edward III of England, Edward III of England has father Edward II of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Leuthard I of Paris, Engeltrude de F zensac has father Leuthard I of Paris. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Elias I Count of Maine, Ermengarde Countess of Maine has father Elias I Count of Maine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Fulk III Count of Anjou, Ermengarde of Anjou Duchess of Burgundy has father Fulk III Count of Anjou. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Leopold III Duke of Austria, Ernest Duke of Austria has father Leopold III Duke of Austria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Henry the Middle Duke of Brunswic L neburg, Ernest I Duke of Brunswic L neburg has father Henry the Middle Duke of Brunswic L neburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Gabriel de Rochechouart de Mortemart, Fran oise Ath na s de Rochechouart Marquise de Montespan has father Gabriel de Rochechouart de Mortemart. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Constant d Aubign , Fran oise d Aubign  Marquise de Maintenon has father Constant d Aubign . [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Muzio Attendolo Sforza, Francesco I Sforza has father Muzio Attendolo Sforza. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
John VIII Count of Vend me, Francis Count of Vend me has father John VIII Count of Vend me. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
