Rule 4:
If predecessor ?a, then successor ?b.

Formal Rule:
Head: ?a  successor  ?b
Body: ?b  predecessor  ?a

Real Instances from Knowledge Graph (358 found):

Willa of Tuscany, Adelaide of Italy has predecessor Willa of Tuscany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Willa of Tuscany has successor Gerberga of M con, Gerberga of M con has predecessor Willa of Tuscany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Philippe I Duke of Orl ans, Philippe II Duke of Orl ans has predecessor Philippe I Duke of Orl ans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Louis the German has successor Louis the Younger, Louis the Younger has predecessor Louis the German. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Louis the German has successor Charles the Fat, Charles the Fat has predecessor Louis the German. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Fulk IV Count of Anjou has successor Fulk King of Jerusalem, Fulk King of Jerusalem has predecessor Fulk IV Count of Anjou. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Louis I of Spain, Philip V of Spain has predecessor Louis I of Spain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Ramon Berenguer III Count of Barcelona has successor Ramon Berenguer IV Count of Barcelona, Ramon Berenguer IV Count of Barcelona has predecessor Ramon Berenguer III Count of Barcelona. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Ferdinand I Holy Roman Emperor has successor Maximilian II Holy Roman Emperor, Maximilian II Holy Roman Emperor has predecessor Ferdinand I Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Ferdinand I Holy Roman Emperor has successor Charles II Archduke of Austria, Charles II Archduke of Austria has predecessor Ferdinand I Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Ferdinand I Holy Roman Emperor has successor Ferdinand II Archduke of Austria, Ferdinand II Archduke of Austria has predecessor Ferdinand I Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Yaroslav the Wise, Iziaslav I of Kiev has predecessor Yaroslav the Wise. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Conrad I of Germany has successor Henry the Fowler, Henry the Fowler has predecessor Conrad I of Germany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
John I of Castile has successor Henry III of Castile, Henry III of Castile has predecessor John I of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Alfonso IX of Le n has successor Ferdinand III of Castile, Ferdinand III of Castile has predecessor Alfonso IX of Le n. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Henry II of France has successor Francis II of France, Francis II of France has predecessor Henry II of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Theobald II of Navarre has successor Henry I of Navarre, Henry I of Navarre has predecessor Theobald II of Navarre. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Alix Duchess of Brittany, Peter I Duke of Brittany has predecessor Alix Duchess of Brittany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Alix Duchess of Brittany has successor John I Duke of Brittany, John I Duke of Brittany has predecessor Alix Duchess of Brittany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Joan II Countess of Burgundy has successor Joan III Countess of Burgundy, Joan III Countess of Burgundy has predecessor Joan II Countess of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Afonso III of Portugal has successor Denis of Portugal, Denis of Portugal has predecessor Afonso III of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Hugh of Italy has successor Lothair II of Italy, Lothair II of Italy has predecessor Hugh of Italy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Guillaume de Montfort of Hainaut has successor Amaury I de Montfort, Amaury I de Montfort has predecessor Guillaume de Montfort of Hainaut. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Louis Duke of Orl ans 1703 1752 has successor Louis Philippe I Duke of Orl ans, Louis Philippe I Duke of Orl ans has predecessor Louis Duke of Orl ans 1703 1752. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Mary Queen of Scots has successor James VI and I, James VI and I has predecessor Mary Queen of Scots. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
John III Duke of Brittany has successor John of Montfort, John of Montfort has predecessor John III Duke of Brittany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Charles the Fat, Odo of France has predecessor Charles the Fat. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Charles the Fat has successor Berengar I of Italy, Berengar I of Italy has predecessor Charles the Fat. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Charles the Fat, Guy III of Spoleto has predecessor Charles the Fat. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Charles the Fat, Arnulf of Carinthia has predecessor Charles the Fat. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Alfonso X of Castile has successor Sancho IV of Castile, Sancho IV of Castile has predecessor Alfonso X of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Ecgberht King of Wessex has successor  thelwulf King of Wessex,  thelwulf King of Wessex has predecessor Ecgberht King of Wessex. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Napoleon has successor Louis XVIII, Louis XVIII has predecessor Napoleon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Napoleon has successor Napoleon II, Napoleon II has predecessor Napoleon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Sancho IV of Castile has successor Ferdinand IV of Castile, Ferdinand IV of Castile has predecessor Sancho IV of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Edward III of England, Richard II of England has predecessor Edward III of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Louis Duke of Savoy, Amadeus IX Duke of Savoy has predecessor Louis Duke of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Princess Marie Isabelle of Orl ans has successor Archduchess Maria Dorothea of Austria, Archduchess Maria Dorothea of Austria has predecessor Princess Marie Isabelle of Orl ans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Leopold II Holy Roman Emperor has successor Ferdinand III Grand Duke of Tuscany, Ferdinand III Grand Duke of Tuscany has predecessor Leopold II Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Ermengarde of Tuscany has successor Willa of Tuscany, Willa of Tuscany has predecessor Ermengarde of Tuscany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Ferdinand II of Aragon has successor Joanna of Castile, Joanna of Castile has predecessor Ferdinand II of Aragon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Robert II Count of Dreux has successor Robert III Count of Dreux, Robert III Count of Dreux has predecessor Robert II Count of Dreux. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Henry the Lion has successor Otto I Duke of Bavaria, Otto I Duke of Bavaria has predecessor Henry the Lion. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Henry the Lion has successor Bernhard Count of Anhalt, Bernhard Count of Anhalt has predecessor Henry the Lion. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Alfonso VII of Le n and Castile has successor Sancho III of Castile, Sancho III of Castile has predecessor Alfonso VII of Le n and Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Alfonso VII of Le n and Castile has successor Ferdinand II of Le n, Ferdinand II of Le n has predecessor Alfonso VII of Le n and Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Louis Count of Vend me has successor John VIII Count of Vend me, John VIII Count of Vend me has predecessor Louis Count of Vend me. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Philip II Duke of Savoy, Philibert II Duke of Savoy has predecessor Philip II Duke of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
John King of England has successor Henry III of England, Henry III of England has predecessor John King of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
John King of England has successor Louis VIII of France, Louis VIII of France has predecessor John King of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Louis III of Anjou, Ren  of Anjou has predecessor Louis III of Anjou. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Charles X, Louis Antoine Duke of Angoul me has predecessor Charles X. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Charles X has successor Henri Count of Chambord, Henri Count of Chambord has predecessor Charles X. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Charles X has successor Louis Philippe I, Louis Philippe I has predecessor Charles X. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Valdemar I of Denmark has successor Canute VI of Denmark, Canute VI of Denmark has predecessor Valdemar I of Denmark. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Odo IV Duke of Burgundy has successor Philip I Duke of Burgundy, Philip I Duke of Burgundy has predecessor Odo IV Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
William the Younger Duke of Brunswic L neburg has successor Ernest II Duke of Brunswic L neburg, Ernest II Duke of Brunswic L neburg has predecessor William the Younger Duke of Brunswic L neburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
James I of Aragon has successor Peter III of Aragon, Peter III of Aragon has predecessor James I of Aragon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Lothair of France has successor Louis V of France, Louis V of France has predecessor Lothair of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Charles IV of France, Philip VI of France has predecessor Charles IV of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Charles IV of France has successor Philip III of Navarre, Philip III of Navarre has predecessor Charles IV of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Simon I de Montfort has successor Amaury II de Montfort, Amaury II de Montfort has predecessor Simon I de Montfort. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Louis Philippe I has successor Jacques Charles Dupont de l Eure, Jacques Charles Dupont de l Eure has predecessor Louis Philippe I. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Louis Philippe I, Prince Philippe Count of Paris has predecessor Louis Philippe I. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Mahaut Countess of Artois has successor Joan II Countess of Burgundy, Joan II Countess of Burgundy has predecessor Mahaut Countess of Artois. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Philip III of Navarre has successor Joan II of Navarre, Joan II of Navarre has predecessor Philip III of Navarre. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Ferdinand II of Le n, Alfonso IX of Le n has predecessor Ferdinand II of Le n. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Francis II Holy Roman Emperor has successor Ferdinand I of Austria, Ferdinand I of Austria has predecessor Francis II Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Maria Theresa has successor Charles VII Holy Roman Emperor, Charles VII Holy Roman Emperor has predecessor Maria Theresa. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Maria Theresa has successor Joseph II Holy Roman Emperor, Joseph II Holy Roman Emperor has predecessor Maria Theresa. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Maria Theresa has successor Francis I Holy Roman Emperor, Francis I Holy Roman Emperor has predecessor Maria Theresa. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
John the Fearless, Philip the Good has predecessor John the Fearless. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Edward II of England has successor Edward III of England, Edward III of England has predecessor Edward II of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Eleanor of Aquitaine has successor John King of England, John King of England has predecessor Eleanor of Aquitaine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Louis III of France, Carloman II has predecessor Louis III of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Ercole III d Este Duke of Modena, Francis IV Duke of Modena has predecessor Ercole III d Este Duke of Modena. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Sviatoslav I, Yaropolk I of Kiev has predecessor Sviatoslav I. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Sviatoslav I has successor Vladimir the Great, Vladimir the Great has predecessor Sviatoslav I. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Marie of Bade Sponheim, Archduchess Anna of Austria has predecessor Marie of Bade Sponheim. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: no
Maria Teresa Cybo Malaspina Duchess of Massa has successor Maria Beatrice d Este Duchess of Massa, Maria Beatrice d Este Duchess of Massa has predecessor Maria Teresa Cybo Malaspina Duchess of Massa. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
1383 1385 Portuguese interregnum has successor John I of Portugal, John I of Portugal has predecessor 1383 1385 Portuguese interregnum. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Golden Ambrosian Republic has successor Francesco I Sforza, Francesco I Sforza has predecessor Golden Ambrosian Republic. [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
Henri Jules Prince of Cond  has successor Louis Duke of Orl ans 1703 1752, Louis Duke of Orl ans 1703 1752 has predecessor Henri Jules Prince of Cond . [VALID] The path is classified as POSITIVE (PCA Confidence 0.9273 >= threshold 0.5) Answer: yes
