Rule 7:
If child ?a, then predecessor ?b.

Formal Rule:
Head: ?a  predecessor  ?b
Body: ?b  child  ?a

Real Instances from Knowledge Graph (1508 found):

Agnes of France Byzantine Empress, Adela of Champagne has child Agnes of France Byzantine Empress. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Agnes of France Byzantine Empress, Louis VII of France has child Agnes of France Byzantine Empress. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Gisela of France Countess of Ponthieu, Adelaide of Aquitaine has child Gisela of France Countess of Ponthieu. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Gisela of France Countess of Ponthieu, Hugh Capet has child Gisela of France Countess of Ponthieu. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Constance of France Countess of Toulouse, Adelaide of Maurienne has child Constance of France Countess of Toulouse. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Constance of France Countess of Toulouse, Louis VI of France has child Constance of France Countess of Toulouse. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles the Simple, Adelaide of Paris has child Charles the Simple. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles the Simple, Louis the Stammerer has child Charles the Simple. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Conrad II Duke of Transjurane Burgundy, Adelaide of Tours has child Conrad II Duke of Transjurane Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Adolphus Frederick III Duke of Mecklenburg Strelitz has predecessor Adolphus Frederick II Duke of Mecklenburg Strelitz, Adolphus Frederick II Duke of Mecklenburg Strelitz has child Adolphus Frederick III Duke of Mecklenburg Strelitz. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Afonso of Portugal Lord of Portalegre, Afonso III of Portugal has child Afonso of Portugal Lord of Portalegre. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Afonso III of Portugal, Afonso II of Portugal has child Afonso III of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Eleanor of Portugal Queen of Aragon, Afonso IV of Portugal has child Eleanor of Portugal Queen of Aragon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Cristina daughter of Edward the Exile, Agatha wife of Edward the Exile has child Cristina daughter of Edward the Exile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles II Duke of Bourbon, Agnes of Burgundy Duchess of Bourbon has child Charles II Duke of Bourbon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Blanche of Burgundy Countess of Savoy, Agnes of France Duchess of Burgundy has child Blanche of Burgundy Countess of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Blanche of Burgundy Countess of Savoy, Robert II Duke of Burgundy has child Blanche of Burgundy Countess of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Marie of France Duchess of Brabant, Agnes of Merania has child Marie of France Duchess of Brabant. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Marie of France Duchess of Brabant, Philip II of France has child Marie of France Duchess of Brabant. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Albert III Duke of Austria, Albert II Duke of Austria has child Albert III Duke of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Agnes of Austria 1281 1364, Albert I of Germany has child Agnes of Austria 1281 1364. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Ramon Berenguer IV Count of Provence has predecessor Alfonso II Count of Provence, Alfonso II Count of Provence has child Ramon Berenguer IV Count of Provence. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Alfonso II Count of Provence, Alfonso II of Aragon has child Alfonso II Count of Provence. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Alfonso of Molina, Alfonso IX of Le n has child Alfonso of Molina. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Berengaria of Castile, Alfonso VIII of Castile has child Berengaria of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Berengaria of Castile, Eleanor of England Queen of Castile has child Berengaria of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Constance of Castile, Alfonso VII of Le n and Castile has child Constance of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Fadrique Alfonso, Alfonso XI of Castile has child Fadrique Alfonso. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Alfonso Fern ndez el Ni o, Alfonso X of Castile has child Alfonso Fern ndez el Ni o. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Edward the Elder has predecessor Alfred the Great, Alfred the Great has child Edward the Elder. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Charles Martel, Alpaida has child Charles Martel. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles Martel has predecessor Pepin of Herstal, Pepin of Herstal has child Charles Martel. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Marie Countess of Ponthieu, Alys of France Countess of Vexin has child Marie Countess of Ponthieu. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Albrecht of Saxe Weissenfels, Anna Maria of Mecklenburg Schwerin has child Albrecht of Saxe Weissenfels. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Anne Henriette of Bavaria, Anne Gonzaga has child Anne Henriette of Bavaria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles Emmanuel III of Sardinia, Anne Marie d Orl ans has child Charles Emmanuel III of Sardinia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles Emmanuel III of Sardinia has predecessor Victor Amadeus II of Sardinia, Victor Amadeus II of Sardinia has child Charles Emmanuel III of Sardinia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Archduchess Anna of Austria, Anne of Bohemia and Hungary has child Archduchess Anna of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduchess Anna of Austria, Ferdinand I Holy Roman Emperor has child Archduchess Anna of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles Orlando Dauphin of France, Anne of Brittany has child Charles Orlando Dauphin of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles Orlando Dauphin of France, Charles VIII of France has child Charles Orlando Dauphin of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Amadeus IX Duke of Savoy, Anne of Cyprus has child Amadeus IX Duke of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Amadeus IX Duke of Savoy has predecessor Louis Duke of Savoy, Louis Duke of Savoy has child Amadeus IX Duke of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Anne of Bohemia and Hungary, Anne of Foix Candale has child Anne of Bohemia and Hungary. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Hugh Count of Vermandois, Anne of Kiev has child Hugh Count of Vermandois. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Hugh Count of Vermandois, Henry I of France has child Hugh Count of Vermandois. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Anna of Lorraine, Antoine Duke of Lorraine has child Anna of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Infante Antonio Duke of Galliera, Antoine Duke of Montpensier has child Infante Antonio Duke of Galliera. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Infante Antonio Duke of Galliera, Infanta Luisa Fernanda Duchess of Montpensier has child Infante Antonio Duke of Galliera. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Catherine de Bourbon, Antoine of Navarre has child Catherine de Bourbon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Catherine de Bourbon, Jeanne d Albret has child Catherine de Bourbon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles Cardinal of Lorraine, Antoinette of Bourbon has child Charles Cardinal of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Ernest of Bavaria, Archduchess Anna of Austria has child Ernest of Bavaria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Marie Caroline of Bourbo Two Sicilies Duchess of Berry, Archduchess Maria Clementina of Austria has child Marie Caroline of Bourbo Two Sicilies Duchess of Berry. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Dirk III Count of Holland has predecessor Arnulf Count of Holland, Arnulf Count of Holland has child Dirk III Count of Holland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
John III Duke of Brittany, Arthur II Duke of Brittany has child John III Duke of Brittany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Baldwin VI Count of Flanders, Baldwin V Count of Flanders has child Baldwin VI Count of Flanders. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Christine of Saxony, Barbara Jagiellon has child Christine of Saxony. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Elizabeth of Luxembourg, Barbara of Cilli has child Elizabeth of Luxembourg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Arthur II Duke of Brittany, Beatrice of England has child Arthur II Duke of Brittany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Arthur II Duke of Brittany has predecessor John II Duke of Brittany, John II Duke of Brittany has child Arthur II Duke of Brittany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Eleanor of Alburquerque, Beatrice of Portugal died 1381 has child Eleanor of Alburquerque. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Beatrice of Provence, Beatrice of Savoy has child Beatrice of Provence. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Beatrice of Provence has predecessor Ramon Berenguer IV Count of Provence, Ramon Berenguer IV Count of Provence has child Beatrice of Provence. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Louis V Duke of Bavaria, Beatrice of Silesia has child Louis V Duke of Bavaria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Eleanor of Viseu, Beatriz of Portugal Duchess of Viseu has child Eleanor of Viseu. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Eleanor of Viseu, Ferdinand Duke of Viseu has child Eleanor of Viseu. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Duchess Charlotte Felicitas of Brunswic L neburg, Benedicta Henrietta of the Palatinate has child Duchess Charlotte Felicitas of Brunswic L neburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Adalbert of Italy, Berengar II of Italy has child Adalbert of Italy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Adalbert of Italy, Willa of Tuscany has child Adalbert of Italy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Constance of France Princess of Antioch, Bertha of Holland has child Constance of France Princess of Antioch. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Constance of France Princess of Antioch, Philip I of France has child Constance of France Princess of Antioch. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Cecile of France, Bertrade of Montfort has child Cecile of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Cecile of France, Philip I of France has child Cecile of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Henry 3rd Earl of Lancaster, Blanche of Artois has child Henry 3rd Earl of Lancaster. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Alphonse Count of Poitiers, Blanche of Castile has child Alphonse Count of Poitiers. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Alphonse Count of Poitiers, Louis VIII of France has child Alphonse Count of Poitiers. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Joan of France 1351 1371, Blanche of Navarre Queen of France has child Joan of France 1351 1371. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Anna Sforza, Bona of Savoy has child Anna Sforza. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles V of France, Bonne of Luxembourg has child Charles V of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles V of France has predecessor John II of France, John II of France has child Charles V of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Hucbert, Boso the Elder has child Hucbert. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles IX of France, Catherine de Medici has child Charles IX of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles IX of France, Henry II of France has child Charles IX of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Edmund Tudor 1st Earl of Richmond, Catherine of Valois has child Edmund Tudor 1st Earl of Richmond. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles the Younger, Charlemagne has child Charles the Younger. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Blanche of Valois, Charles Count of Valois has child Blanche of Valois. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Anne of Orl ans Abbess of Fontevraud, Charles Duke of Orl ans has child Anne of Orl ans Abbess of Fontevraud. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Anne of Orl ans Abbess of Fontevraud, Marie of Cleves Duchess of Orl ans has child Anne of Orl ans Abbess of Fontevraud. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Antoine of Navarre, Charles Duke of Vend me has child Antoine of Navarre. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
